sample	alias	condition
SCT_2303510004_Y72M_mtMultiome	SCT_2303510004_Y72M	Healthy
SCT_2304513004_Y65F_mtMultiome	SCT_2304513004_Y65F	Healthy
SCT_2306520006_Y70F_mtMultiome	SCT_2306520006_Y70F	Healthy
SCT_2307511011_Y64F_mtMultiome	SCT_2307511011_Y64F	Healthy
SCT_2308401001_Y23F_mtMultiome	SCT_2308401001_Y23F	Healthy
SCT_2312507004_Y67M_mtMultiome	SCT_2312507004_Y67M	Healthy
SCT_2304506004_Y71M_mtMultiome	SCT_2304506004_Y71M	Healthy
SCT_231270501C_Y26F_mtMultiome	SCT_231270501C_Y26F	Healthy
hPBMC_2305510014_Multiome	SCT_2305510014_Y22F	Healthy
hPBMC_2308509010_Multiome	SCT_2308509010_Y69F	Healthy
hPBMC_2308915002_Multiome	SCT_2308915002_Y23M	Healthy
hPBMC_2312420003_Multiome	SCT_2312420003_Y26F	Healthy
hPBMC_2303522004_Multiome	SCT_2303522004_Y63M	Healthy
hPBMC_2306523004_Multiome	SCT_2306523004_Y20M	Healthy
hPBMC_2306820102_Multiome	SCT_2306820102_Y26M	Healthy
hPBMC_2307527004_Multiome	SCT_2307527004_Y65F	Healthy
hPBMC_2309512002_Multiome	SCT_2309512002_Y24F	Healthy
